description,disease
"nausea, body aches",Malaria
"loss of appetite, headache, fever and tiredness, itchy blister rash",Chickenpox
"sneezing and itchy eyes, runny nose, nasal congestion, skin hives",Allergy
"vomiting, diarrhea, abdominal cramps, dehydration",Gastroenteritis
"fever and tiredness, headache, itchy blister rash",Chickenpox
"nausea, sweating, high fever with chills",Malaria
"lower abdominal pain, painful urination, frequent urge to urinate",UTI
"high fever with chills, sweating",Malaria
"flaky patches, rash",Fungal Infection
"painful urination, frequent urge to urinate, cloudy urine",UTI
"heartburn after meals, difficulty swallowing, chest pain",GERD
"sore throat, cough",Common Cold
"acid reflux, difficulty swallowing, heartburn after meals",GERD
"itchy blister rash, fever and tiredness, headache",Chickenpox
"nausea, body aches",Malaria
"headache, loss of appetite",Typhoid
"frequent urge to urinate, painful urination, cloudy urine",UTI
"chest pain, acid reflux",GERD
"weakness and fatigue, fever for 5 days, loss of appetite",Typhoid
"fever and tiredness, loss of appetite, itchy blister rash",Chickenpox
"cloudy urine, painful urination",UTI
"dehydration, vomiting, diarrhea",Gastroenteritis
"throbbing headache, nausea, visual disturbances, sensitivity to light",Migraine
"high fever with chills, sweating, body aches",Malaria
"high fever with chills, body aches, sweating",Malaria
"runny nose, sneezing and itchy eyes, skin hives",Allergy
"sensitivity to light, visual disturbances",Migraine
"difficulty swallowing, chest pain, heartburn after meals, acid reflux",GERD
"abdominal cramps, dehydration, diarrhea",Gastroenteritis
"runny nose, nasal congestion, sneezing and itchy eyes, skin hives",Allergy
"loss of appetite, itchy blister rash",Chickenpox
"sweating, high fever with chills",Malaria
"skin hives, runny nose, nasal congestion",Allergy
"sneezing and itchy eyes, nasal congestion, runny nose, skin hives",Allergy
"sweating, body aches",Malaria
"high fever with chills, sweating, nausea, body aches",Malaria
"headache, weakness and fatigue",Typhoid
"loss of appetite, fever for 2 days, headache, weakness and fatigue",Typhoid
"sneezing and runny nose, sore throat, cough, nasal congestion",Common Cold
"sweating, body aches",Malaria
"frequent urge to urinate, cloudy urine, lower abdominal pain",UTI
"loss of appetite, fever for 2 days, weakness and fatigue, headache",Typhoid
"fever and tiredness, loss of appetite, itchy blister rash, headache",Chickenpox
"loss of appetite, fever and tiredness",Chickenpox
"acid reflux, difficulty swallowing, heartburn after meals, chest pain",GERD
"sneezing and runny nose, sore throat, cough",Common Cold
"throbbing headache, visual disturbances, nausea, sensitivity to light",Migraine
"lower abdominal pain, painful urination, frequent urge to urinate",UTI
"fever and tiredness, loss of appetite, headache",Chickenpox
"nasal congestion, sneezing and itchy eyes, runny nose",Allergy
"flaky patches, rash, burning sensation",Fungal Infection
"weakness and fatigue, headache, fever for 4 days, loss of appetite",Typhoid
"fever and tiredness, headache, loss of appetite, itchy blister rash",Chickenpox
"heartburn after meals, acid reflux, difficulty swallowing",GERD
